Fiscal Year,Employer,Total Approval,NAICS
2021,22ND CENTURY TECHNOLOGIES INC,44,54
2021,23ANDME INC,50,62
2021,24 7 AI INC,25,54
2021,24 7 INTERNATIONAL LLC,27,42
2021,24 HOUR FITNESS USA INC,21,71
2021,24 ON PHYSICIANS OF CALIFORNIA PC,41,62
2021,24 ON PHYSICIANS PC,16,62
2021,24 OURS MEDIA LLC,14,54
2021,247 GROUP LLC D B A LAUNDRY SERVIC,10,54
2021,24X7 ESI INC,730,54
2021,24X7SYSTEMS INC,18,54
2021,26 CALIFORNIA BAZAR WHOLESALE,2,42
2021,2600HZ INC,8,51
2021,280 TECHNOLOGIES LLC,26,52
2021,2A USA INC,31,33
2021,2GO PRODUCTS LLC,39,54
2021,2H OFFSHORE INC,39,54
2021,2IM GROUP LLC,4,54
2021,2K GAMES INC,26,51
2021,2KB ENERGY SERVICES LLC,20,54
2021,2M OPCO LLC F/K/A 4441 RESOURCES L,9,52
2021,2M RESEARCH SERVICES LLC,181,54
2021,2M SOLUTIONS INC,48,56
2021,2MC EMPLOYEE MANAGEMENT LLC DBA FA,18,99
2021,2ND CHANCE LUXURY AUTOS LLC DBA CA,28,44
2021,2ND CHANCE TREATMENT CENTERS PLLC,25,62
2021,2PS INVESTMENTS LLC D B A HERITAGE,70,52
2021,2RW CONSULTANTS INC,132,54
2021,2U INC,103,92
2021,3 1 PHILLIP LIM LLC,5,44
2021,3 DOTS IT SOLUTIONS LLC,2,54
2021,3 GIS LLC,112,54
2021,3 KEY CONSULTING INC,22,54
2021,3 YEO INC,66,54
2021,300 ENGINEERING GROUP PA,33,54
2021,314E CORPORATION,20,54
2021,317 LABS INC DBA EMOTIVE,2,54
2021,323 BEACON ST LLC DBA DAVID XIAO R,18,53
2021,36 AVENUE INC,10,53
2021,360 DEGREE CUSTOMER INC,23,62
2021,360 ENGINEERING GROUP PLLC,3,54
2021,360 RAIL SERVICES LLC,86,99
2021,360I LLC,105,54
2021,360TGTX INC,5,52
2021,365 RETAIL MARKETS LLC,78,51
2021,3650 ASSOCIATES LLC,6,52
2021,380 EAST VENTURES LLC D/B/A THE FA,111,72
2021,3835 MAIN LLC,33,72
2021,3890 MANAGEMENT LLC DBA TEN HEALTH,4,62
2021,3A SOFT INC,130,54
2021,3B STAFFING LLC,25,54
2021,3BRIDGE SOLUTIONS LLC DBA,22,54
2021,3CLOGIC INC,122,54
2021,3CORE SYSTEMS INC,21,54
2021,3D IMAGING & SIMULATION CORP AMERI,9,33
2021,3D PRINTER EXPERIENCE BENEFIT CORP,9,33
2021,3D SYSTEMS INC,38,33
2021,3D TECHNOLOGIES LLC,108,54
2021,3DEO INC,5,33
2021,3DI INC,32,54
2021,3E CO ENVIRONMENTAL ECOL & ENG,21,54
2021,3E CONSULTING INC,4,54
2021,3EDGEUSA GROUP LLC,15,54
2021,3FORTY GROUP INC,4,99
2021,3G SAHANA CAPITAL MANAGEMENT LP,87,52
2021,3H SYSTEMS LLC,17,54
2021,3I INFOTECH INC,207,54
2021,3I PEOPLE INC,32,54
2021,3IC RESEARCH LLC,4,54
2021,3IGEEKS LLC,24,54
2021,3IS SOLUTIONS INC,12,54
2021,3ITEK LLC,14,54
2021,3J INTERNATIONAL LTD CO,23,42
2021,3K TECHNOLOGIES LLC,53,54
2021,3M COMPANY,72,33
2021,3MD INC DBA DENALI ADVANCED INTEGR,26,54
2021,3PL CENTRAL LLC,20,54
2021,3PLAY MEDIA INC,7,54
2021,3Q DIGITAL,10,54
2021,3QI LABS INC,17,54
2021,3RD STONE DESIGN INC,17,54
2021,3RED PARTNERS LLC,6,52
2021,3S BUSINESS CORPORATION,81,54
2021,3S NETWORK INC,19,54
2021,3SI SECURITY SYSTEMS INC,14,56
2021,3SIXD INC,8,54
2021,3TC ROBOTICS LLC,15,99
2021,4 AI SOFT LLC,9,51
2021,4 FUSION LLC DBA EMBARCADERO 41,3,72
2021,4 PEAKS BUSINESS SOLUTION LLC,61,54
2021,4 S T E L ENGINEERING INC,25,54
2021,4 SERV SOLUTIONS INC,24,54
2021,400 CAPITAL MANAGEMENT LLC,24,52
2021,41ST PARAMETER INC,43,51
2021,42 NORTH DENTAL CARE LLC,20,62
2021,42 TECHNOLOGIES INC,102,54
2021,4A SOLUTIONS LLC,5,54
2021,4B TECHNOLOGY GROUP LLC,23,54
2021,4C AIR INC,3,99
2021,4C INSIGHTS INC,51,54
2021,4C PHARMA SOLUTIONS LLC,20,54
2021,4CONSULTING INC,28,54
2021,4D MOLECULAR THERAPEUTICS INC,9,32
2021,4D SYSTEMS LLC,34,54
2021,4D VISION LLC,49,33
2021,4DREPLAY INC,32,51
2021,4FRONT ENGINEERED SOLUTIONS INC DB,8,33
2021,4G CLINICAL LLC,46,54
2021,4GEN BEARING COMPANY,15,99
2021,4I APPS SOLUTIONS LLC,37,54
2021,4J FOUNDATION INC,113,99
2021,4PX EXPRESS USA,22,54
2021,4S TECHNOLOGIES LLC,87,54
2021,4WEB INC,84,42
2021,500 DESIGNS LLC,1,54
2021,500PX INC,48,51
2021,505 GAMES U S INC,4,42
2021,511 CAPITAL LLC,11,54
2021,547 ENERGY MANAGEMENT LLC,81,52
2021,54D ONLINE LLC,6,61
2021,55 WASHINGTON STREET LLC,13,23
2021,561 MEDIA INC,45,99
2021,5ELEM USA INC,26,45
2021,5MILES LLC,5,45
2021,5MS MINERALS MANAGEMENT LLC,135,51
2021,5THCOLUMN INC,39,54
2021,5THCOLUMN LLC,13,54
2021,5W PUBLIC RELATIONS LLC,39,54
2021,5X5 TECHNOLOGIES INC,10,54
2021,6 DEGREES HEALTH DX LLC,24,52
2021,6 RIVER SYSTEMS LLC,24,51
2021,"60 DECIBELS, INC.",6,54
2021,605 LLC,15,54
2021,64 X INC,7,99
2021,650 INDUSTRIES INC,26,99
2021,6AI INC,2,54
2021,6BLU INC,3,54
2021,6COM INC,40,54
2021,6D BYTES INC DBA BLENDID,4,54
2021,6E TECHNOLOGIES LLC,260,54
2021,6ELM CAPITAL LP,43,52
2021,6SENSE INSIGHTS INC,8,51
2021,6Y A INC,34,54
2021,7 ELEVEN INC,91,44
2021,7 MILE ADVISORS LLC,19,52
2021,720 WORLDWIDE INC,62,54
2021,72ANDSUNNY PARTNERS LLC,58,54
2021,7CINFO COM INC,21,54
2021,7EDU IMPACT ACADEMY INC,32,92
2021,7PARK DATA INC,20,51
2021,8 NET INC,75,42
2021,8 RIVERS SERVICES LLC,28,52
2021,80 ACRES URBAN AGRICULTURE INC,2,11
2021,817 DENTAL PLLC,24,62
2021,81QD LLC,2,54
2021,82ND STREET ACADEMICS,20,62
2021,84 51 LLC,49,54
2021,87P LLC,10,31
2021,88 BRAND PARTNERS INC,17,54
2021,89 DEGREES INC DBA IRIS CONCISE,29,54
2021,89CRYPTONIAN CORPORATION,148,54
2021,8K MILES HEALTH CLOUD INC,21,54
2021,8MINUTE SOLAR ENERGY LLC,22,23
2021,8SIANMEDIA CORP,100,51
2021,8TECH INNOVATE LLC,6,32
2021,8TREE LLC,28,33
2021,8X8 INC,34,99
2021,97 LABS INC,6,45
2021,98POINT6 INC,62,54
2021,99 CENTS ONLY STORES LLC,16,45
2021,99 FAVOR TASTE RESTAURANT INC,3,72
2021,99DEGREES CUSTOM INC,10,31
2021,9DOTS TECHNOLOGY INC,10,54
2021,9EDGE INC,27,54
2021,9FOLD LLC,5,99
2021,9LOGIC TECHNOLOGIES INC,46,54
2021,9M SOLUTIONS INC,36,54
2021,9THNETWORKS INC,8,54
2021,9TO5 SEATING LLC,18,33
2021,9TO9 SOFTWARE SOLUTIONS LLC,18,54
2021,9W HALO OPCO L P DBA ANGELICA,25,81
2021,A & A CONSTRUCTON COMPANY,8,56
2021,A & A OPTICAL COMPANY,12,42
2021,A & B ACCOUNTING CORP,21,54
2021,A & B ENVIRONMENTAL SERVICES INC,14,54
2021,A & B FOUNDRY LLC,20,33
2021,A & F ENGINEERING CO LLC,47,54
2021,A & H TECHNOLOGIES LLC,5,54
2021,A & I SOLUTIONS INC,1,54
2021,A & K RAILROAD MATERIALS INC,15,99
2021,A & N GROUP INC,231,54
2021,A & T CORP,17,54
2021,A 1 TECHNOLOGY INC,14,54
2021,A 3 BY AIRBUS LLC,25,33
2021,A A GLOBAL IMPORTS INC,10,42
2021,A AND F PLASTERING INC,61,23
2021,A CAPITAL ELECTRIC CONTRACTORS INC,45,23
2021,A CARING DOCTOR PC DBA BANFIELD PE,15,54
2021,A CARING DOCTOR TEXAS PC DBA BANFI,28,54
2021,A CARING DR MINNESOTA PA DBA BANFI,8,54
2021,A CHEMTEK INC,7,99
2021,A CHINA GLOBAL LOGISTICS INC,18,48
2021,A D L INC,4,62
2021,A E REAL ESTATE MANAGEMENT LLC,2438,53
2021,A F PAREDES AND CO CPAS LLP,5,54
2021,A G ASSOCIATES INC,8,54
2021,A G RHODES HOME COBB INC D/B/A A G,3,62
2021,A G SIMPSON USA INC,7,33
2021,A HUNTS MILLS ASSOCIATES LLC,7,72
2021,A I PORTFOLIO INC,22,54
2021,A K S INTERNATIONAL INC,29,23
2021,A LINE STAFFING SOLUTIONS LLC,31,56
2021,A MAX INSURANCE SERVICES INC D/B/A,6,52
2021,A MEDIUM CORPORATION,48,99
2021,A MODO MIO INC DBA ET VOILA,19,72
2021,A O SMITH CORPORATION,12,33
2021,A PATEL DDS INC DBA PROSMILE FAMIL,12,62
2021,A PLACE FOR MOM INC,58,62
2021,A PLUS CONSTRUCTION SVCS CORP,22,54
2021,A PLUS PHYSICAL THERAPY LLC,31,62
2021,A QUALITY HOME HEALTH 4U INC,20,62
2021,A R T FURNITURE INC,40,42
2021,A RAYMOND NORTH AMERICA LLC,9,33
2021,A SOCIETY GROUP INC,2,54
2021,A SONIC LOGISTICS USA INC,12,54
2021,A SQUARE GROUP LLC,10,54
2021,A SQUARED BUSINESSES AND CONSULTIN,6,54
2021,A STUCKI COMPANY,15,33
2021,A T KEARNEY,113,54
2021,A T STILL UNIV OF HLTH SCIENCES,19,61
2021,A T VILLA INC,45,33
2021,A TEAM PACIFIC ROOFING INC,12,23
2021,A TO BE USA LLC,7,33
2021,A TO Z MEDICAL CARE P C,51,62
2021,A TO Z PHYSICAL THERAPY PC,20,62
2021,A V DESIGN INTEGRATION INC,201,44
2021,A V SERVICES,26,53
2021,A VENTERPRISEINC,94,54
2021,A Z PHARMACEUTICAL INC,41,32
2021,A&A INFOSYSTEMS INC,36,54
2021,A&B FOUNDRY & MACHINING LLC,5,33
2021,A&J CONSULTING ENGINEERING SVCS PC,11,54
2021,A&R CONSTRUCTION MANAGEMENT & DEVE,4,23
2021,A&S MANAGEMENT & INVESTMENT INC,14,52
2021,A-CONNECT US INC,4,54
2021,A-Z MORTGAGE INC,18,52
2021,A.I. ARTIST STUDIO INC,76,61
2021,A1 CONSTRUCTION SERVICES INC,11,23
2021,A1 IHSAN SCHOOL OF EXCELLENCE,4,61
2021,A1 KAISER INC,405,54
2021,A1 PHYSICAL THERAPY INC,15,62
2021,A1 SOLUTION INC,41,56
2021,A10 CONSULTANCY INC,16,54
2021,A10 NETWORKS INC,57,54
2021,A100 US LLC,128,45
2021,A1157 DESIGN SOLUTIONS LLC DBA CUL,10,54
2021,A123 SYSTEMS LLC,102,33
2021,"A1PLUSSOFT, INC.",11,54
2021,A2 BIOTHERAPEUTICS INC,277,54
2021,A2 CONSULTING LLC,8,99
2021,A25 SOLUTIONS LLC,5,54
2021,A2C INC,4,61
2021,A2Z SCIENTIFIC INC,18,54
2021,A4 MEDIA LLC,48,51
2021,A4G SOLUTIONS LLC,138,54
2021,A4SOFTECH LLC,19,54
2021,A5 LABS INC,5,54
2021,A52 LLC DBA ELASTIC,12,51
2021,A6G6 INC,7,51
2021,A9 COM INC,55,45
2021,AA 168 CONSTRUCTION INC,216,99
2021,AA CONSULTANCY SERVICES LLC,7,54
2021,AA INSTANT HEALING ACUPUNCTURE CTR,35,62
2021,AA MARBLE & GRANITE LLC,11,23
2021,AA METALS INC,36,42
2021,AA SOFTWARE & NETWORKING INC,18,54
2021,AA SOLUTIONS INC,14,54
2021,AA TECH GROUP LLC,13,54
2021,AAA CLUB ALLIANCE,57,52
2021,AAA DENTAL PC DBA WEBSTER SMILES,62,62
2021,AAA GLOBAL TECHNOLOGIES LLC,84,54
2021,AAA JEWELERS INC.,40,42
2021,AAA LIFE INSURANCE COMPANY,10,52
2021,AAA TAX CONSULTANTS INC DBA NATION,63,54
2021,AAA TEXAS LLC,24,56
2021,AAA VIRGINIA CONSULTING INC,41,54
2021,AABACO SMALL BUSINESS LLC,171,51
2021,AACE PHARMACEUTICALS INC,8,32
2021,AADHICK SOLUTIONS INC,6,54
2021,AAE GROUP CONSTRUCTION CORP,41,23
2021,AAEON ELECTRONICS INC,39,54
2021,AAFCPAS INC,10,54
2021,AAIDEBOOK INC,103,62
2021,AAJ COMPUTER SERVICES INC D/B/A OZ,4,54
2021,AAMC US INC,109,52
2021,AANEEL INFOTECH LLC,229,99
2021,AAON INC,3,33
2021,AAPPTECH LLC,22,54
2021,AARA TECHNOLOGIES INC,25,54
2021,AARAV SOLUTIONS INC,35,54
2021,AARC ENVIRONMENTAL SOUTHEAST LLC,20,54
2021,"AARETECH, LLC",52,54
2021,AARIN INC,67,54
2021,AARISHA INC,11,54
2021,AARK ENGINEERING INC,3,54
2021,AARK NETWORK INC,4,72
2021,AARKAY CONSULTING INC,10,54
2021,AARKAY TECHNOLOGIES INC,208,54
2021,AARKISH PHARMACEUTICALS NJ INC,87,32
2021,AARNA PRIYA INC,132,51
2021,AAROHI DENTAL PC,24,62
2021,AARONS LLC,19,53
2021,AARP,10,81
2021,AARRCAD INC,42,54
2021,AART INC,15,54
2021,AARTH ACCOUNTING PC,12,54
2021,AASRITA CONSULTING LLC,11,54
2021,AAT BIOQUEST INC,6,99
2021,AAVID NIAGARA LLC,6,33
2021,AAVISPRO LLC,10,54
2021,AB BRANDS LLC,20,54
2021,AB CONSTRUCTION INC,126,54
2021,AB DESIGN STUDIO INC,112,54
2021,AB DYNAMICS INC,30,42
2021,AB INITIO CAPITAL MANAGEMENT LLC,3,52
2021,AB NORMAL INC,34,54
2021,AB OVO INC,196,54
2021,AB OVO NORTH AMERICA INC,10,54
2021,AB PHARMACY INC D B A ASP CARES,39,44
2021,AB SCIEX LLC DBA SCIEX,26,33
2021,AB SPECIALTY SILICONES LLC,2,54
2021,AB STUDIO INC,15,54
2021,AB TECHNOLOGIES INC,94,54
2021,AB2 CONSULTING INC,24,54
2021,ABA DSO LLC,9,56
2021,ABAB SOLUTIONS INC,14,54
2021,ABACUS AI INC D/B/A REALITYENGINES,14,51
2021,ABACUS BUSINESS COMPUTER LLC,7,54
2021,ABACUS INSIGHTS INC,4,51
2021,ABACUS INSURANCE & FINANCIAL SVCS,22,52
2021,ABACUS PLANNING GROUP INC,6448,52
2021,ABACUS SERVICE CORPORATION,324,54
2021,ABACUS TECHNICAL SERVICES LLC,36,54
2021,ABADI CONSTRUCTION OF NY INC,2,99
2021,ABAGY ROBOTIC SYSTEMS INC,17,54
2021,ABAL TECHNOLOGIES INC,73,54
2021,ABALINE PAPER PRODUCTS,5,42
2021,ABARCA HEALTH FL LLC,9,54
2021,ABARCA TECHNOLOGIES LLC,82,54
2021,ABATUS LLC,2,54
2021,ABB ENTERPRISE SOFTWARE INC DBA HI,122,33
2021,ABB INC,761,33
2021,ABB INSTALLATION PRODUCTS INC,12,42
2021,ABBEY HILL GROUP LLC,4,62
2021,ABBOTT CARDIOVASCULAR SYSTEMS INC,62,32
2021,ABBOTT DIABETES CARE INC,27,32
2021,ABBOTT DIAGNOSTICS SCARBOROUGH INC,51,32
2021,ABBOTT LABORATORIES,241,32
2021,ABBOTT LABORATORIES INC,9,32
2021,ABBOTT POINT CARE INC,13,32
2021,ABBVIE BIORESEARCH CENTER,46,32
2021,ABBVIE BIOTHERAPEUTICS,61,32
2021,ABBVIE BIOTHERAPEUTICS INC,36,32
2021,ABBVIE ENDOCRINOLOGY INC AN ABBVIE,23,32
2021,ABBVIE INC,143,32
2021,ABBVIE STEMCENTRX LLC,12,32
2021,ABBVIE US LLC,32,32
2021,ABBY SUCKLE ARCHITECT PC,9,54
2021,ABBYY USA SOFTWARE HOUSE INC,6,51
2021,ABC CPAS,151,54
2021,ABC GLOBAL FDN INC,30,54
2021,ABC GROUP SALES AND ENGINEERING IN,6,99
2021,ABC IMAGING OF WASHINGTON INC,27,32
2021,ABC LEGAL SERVICES LLC,14,99
2021,ABC PEDIATRICS LLC,19,62
2021,ABC SUPPLY CORPORATION INC,28,42
2021,ABCAM INC,8,99
2021,ABCAT ASSOCIATES INC,4,99
2021,ABCLONAL SCIENCE INC,22,54
2021,ABCO REFRIGERATION SUPPLY CORP,8,42
2021,ABCOMBI BIOSCIENCES INC,10,32
2021,ABCSP LLC DBA ALWAYS BEST CARE SR,20,53
2021,ABD SOLUTIONS INC,33,54
2021,ABEAM CONSULTING USA LTD,12,54
2021,ABERCROMBIE & FITCH MANAGEMENT CO,45,44
2021,ABERCROMBIE & FITCH STORES INC,11,44
2021,ABERCROMBIE & FITCH TRADING CO,30,44
2021,ABEST TAX SERVICES INC,18,54
2021,ABG OPERATING LLC DBA AMERICAN BAT,4,32
2021,ABHAY SOLUTIONS INC,9,54
2021,ABHRA INC,18,54
2021,ABICOR BINZEL USA INC,98,99
2021,ABIGAILS ARMS COOKE COUNTY FAMILY,2,62
2021,ABILA INC,148,51
2021,ABILITY NETWORK INC,11,54
2021,ABILITY WORKS REHAB SERVICES LLC,107,62
2021,ABIMAR FOODS INC,3,31
2021,ABINGTON MEMORIAL HOSPITAL,182,62
2021,ABIOMED INC,25,33
2021,ABIOSCIENCES INC,25,54
2021,ABITOS PLLC,22,54
2021,ABL AUTOMATION INC,37,99
2021,ABLE C C US INC D B A MISSHA US,16,44
2021,ABLE INCORPORATED,40,62
2021,ABLE MANUFACTURING AND ASSEMBLY LL,16,33
2021,ABLETO INC,13,62
2021,ABM CONTROLS INC,35,54
2021,ABM INDUSTRIES INCORPORATED,18,54
2021,ABM WIRLESS DBA INSCOPE,31,42
2021,ABN AMRO HOLDINGS USA LLC,10,52
2021,ABN TECH CORPORATION,9,54
2021,ABNA OF ILLINOIS INC,52,54
2021,ABNORMAL SECURITY CORP,14,54
2021,ABORN & CO INC D/B/A FREIGHTPLUS I,5,54
2021,ABOTTS CONSULTING INC,16,54
2021,ABOUT INC,32,51
2021,ABOVE SUMMIT LLC DBA ABOVE SUMMIT,23,51
2021,ABRACON HOLDINGS LLC DBA ABRACON L,371,33
2021,ABRACON LLC,9,33
2021,ABRAHAM J AND PHYLLIS KATZ CORD BL,24,99
2021,ABRAHIM MUSTAFA DDS INC DBA FAMILY,145,62
2021,ABRAMS BISON INVESTMENTS LLC,24,52
2021,ABRAMS GORELICK FRIEDMAN & JACOBSO,2,54
2021,ABRAMSON ARCHITECTS INC,10,54
2021,ABRIDGE AI INC,6,33
2021,ABRIDGE INFO SYSTEMS INC,25,54
2021,ABRY PARTNERS II LLC,32,52
2021,ABS GLOBAL INC,9,11
2021,ABS GLOBAL TRADING LIMITED,39,54
2021,ABS INVESTMENT MANAGEMENT LLC,10,52
2021,ABSCI CORPORATION,54,32
2021,ABSG CONSULTING INC,7,54
2021,ABSOLUTDATA TECHNOLOGIES INC,20,54
2021,ABSOLUTE CONSULTING INC,3,54
2021,ABSOLUTE ELECTRONICS INC,16,33
2021,ABSOLUTE EXHIBITS INC,24,56
2021,ABSOLUTE FINANCIAL MANAGEMENT INC,240,54
2021,ABSOLUTE HAITIAN CORPORATION,7,33
2021,ABSOLUTE HOT NEW YORK CORP,528,42
2021,ABSOLUTE MEDICAL CONSULTING LLC,80,62
2021,ABSOLUTE ROBOT INC,5,42
2021,ABSOLUTE SECURITY INTERNATIONAL IN,4,56
2021,ABSOLUTE SMILE DENTAL CORPORATION,3,62
2021,ABSOLUTE THERAPY & STAFFING LLC,126,56
2021,ABSOMAX INC,5,54
2021,ABSORPTION SYSTEMS LLC,40,54
2021,ABT ASSOCIATES INC,95,54
2021,ABUNDANT ROBOTICS INC,71,33
2021,ABUNDANT VENTURE INNOVATION,15,54
2021,ABV ELECTRONICS INC DBA SIENNA COR,15,33
2021,ABVEN SVCS INC,6,52
2021,ABX BIOLOGICS INC DBA ABVERIS INC,17,99
2021,AC FLORIDA PAVERS LLC,17,42
2021,AC HORN MANUFACTURING,35,33
2021,AC INVESTMENT MANAGEMENT LLC,331,52
2021,AC MARTIN INC,86,54
2021,AC WELLNESS NETWORK LLC,13,33
2021,AC2 INC,50,54
2021,ACACIA COMMUNICATIONS INC,63,33
2021,ACACIA NPU INC,8,72
2021,ACADACA LLC,11,44
2021,ACADEMIA INC,12,61
2021,ACADEMIC ANALYTICS LLC,1,54
2021,ACADEMIC INTERNAL MEDICINE SPECIAL,11,62
2021,ACADEMIC MEDICINE SVCS INC DBA UBM,33,62
2021,ACADEMIE LAFAYETTE,12,61
2021,ACADEMY DENTAL OF HAMILTON PA,74,62
2021,ACADEMY INTERNATIONAL INC,4,99
2021,ACADEMY LTD DBA ACADEMY SPORTS OUT,79,45
2021,ACADEMY MORTAGE CORPORATION,17,52
2021,ACADEMY OF MATHEMATICS & SCIENCE S,80,61
2021,ACADEMY OF OUR LADY OF GUAM,2708,61
2021,ACADIA MANAGEMENT COMPANY LLC,51,62
2021,ACADIA PHARMACEUTICALS INC,51,54
2021,ACADIA TECHNOLOGIES INC,36,54
2021,ACADIAN ASSET MANAGEMENT LLC,27,52
2021,ACADIAN CONSULTING GROUP LLC,6,54
2021,ACADIASOFT INC,44,52
2021,ACAI INVESTMENTS LLC DBA DIE-VAC P,22,32
2021,ACBB BITS LLC,7,54
2021,ACBEL USA POLYTECH INC,13,33
2021,ACC CONTRACTORS INC,5,23
2021,ACC10 SILICON VALLEY CATALONIA COM,37,92
2021,ACCEL ENTERTAINMENT GAMING LLC,6,71
2021,ACCELA INC,18,54
2021,ACCELALPHA INC,23,54
2021,ACCELERATE STAFFING,22,56
2021,ACCELERATED ENGINEERING,159,54
2021,ACCELERATED TECHNOLOGIES INC,22,54
2021,ACCELERIZE 360 INC,35,54
2021,ACCELERON CORP,379,54
2021,ACCELERON PHARMA INC,25,99
2021,ACCELIRATE INC,26,54
2021,ACCELITAS INC FORMERLY KNOWN AS DR,3,54
2021,ACCELL GLOBAL RISK SOLUTIONS INC,41,54
2021,ACCELURA CORPORATION,3,54
2021,ACCELY INC,7,54
2021,ACCENTCARE INC,23,62
2021,ACCENTUATE IT SOLUTIONS LLC,51,54
2021,ACCENTURE LLP,3086,51
2021,ACCENZ LLC,22,54
2021,ACCERN CORPORATION,11,51
2021,ACCESS BUSINESS GROUP INTL LLC,61,33
2021,ACCESS COMMUNITY HEALTH NETWORK,29,62
2021,ACCESS DATA CONSULTING CORPORATION,26,54
2021,ACCESS DENTAL LAB LLC,217,33
2021,ACCESS DENTAL MANAGEMENT LLC DBA A,15,62
2021,ACCESS DENTAL MANAGEMENT SERVICES,7,62
2021,ACCESS DENTAL OF WILLIAM CANNON PA,16,62
2021,ACCESS DENTAL OF ZARZAMORA P A D/B,14,62
2021,ACCESS DEVELOPMENT CORP VG LLC,6,54
2021,ACCESS GLOBAL GROUP INC,11,54
2021,ACCESS HEALTH INTERNATIONAL INC,9,54
2021,ACCESS PHYSICAL THERAPY WELLNESS,35,62
2021,ACCESS PLUS REHAB LLC,8,54
2021,ACCESS POINT FINANCIAL LLC,34,52
2021,ACCESS REHAB CENTERS LLC,11,62
2021,ACCESS SCIENCES CORPORATION,9,54
2021,ACCESS VENTURES INC,10,52
2021,ACCESS WEALTH PLANNING LLC,11,52
2021,ACCESSBANK,7,52
2021,ACCESSO LLC,79,54
2021,ACCESSO RESOURCES LLC,17,53
2021,ACCIDENT FUND INSURANCE CO OF AM,11,52
2021,ACCION INTERNATIONAL,9,52
2021,ACCION LABS US INC,35,54
2021,ACCIONA ENERGY USA GLOBAL LLC,59,22
2021,ACCLAIM SYSTEMS INC,41,54
2021,ACCLARENT INC,8,33
2021,ACCLARIS INC,9,54
2021,ACCLARO INC,22,54
2021,ACCO BRANDS USA LLC,42,33
2021,ACCOLADE INC,166,62
2021,ACCOLITE DIGITAL LLC,19,54
2021,ACCOLITE INC,9,54
2021,ACCORDION PARTNERS LLC,193,54
2021,ACCOUNT CONTROL TECH INC,18,56
2021,ACCOUNTANTS WORLD LLC,53,54
2021,ACCOUNTBL,87,54
2021,ACCOUNTING AND TAX ASSOCIATES LLC,174,54
2021,ACCOUNTING FULFILLMENT SERVICES,4,54
2021,ACCOUNTSIGHT D/B/A ESIGN GENIE,13,54
2021,ACCREDITED INVESTORS INC,8,52
2021,ACCREDO HEALTH GROUP INC,8,54
2021,ACCRETE HITECH SOLUTIONS INC,27,54
2021,ACCRETE LLC,27,54
2021,ACCRETE SOLUTIONS LLC,13,54
2021,ACCRETECH SBS INC,4,54
2021,ACCU REFERENCE MEDICAL LAB LLC,7,62
